Index,ReachabilityDist
0,UNDEFINED
60,1.34324
72,1.21037
93,1.21037
96,1.21037
102,1.21037
110,1.21037
118,1.21037
152,1.21037
196,1.21037
208,1.21037
261,1.21037
267,1.21037
20,1.21235
450,1.24619
489,1.26305
171,1.28144
405,1.30073
484,1.32401
86,1.34324
115,1.34324
132,1.34324
141,1.34324
150,1.34324
45,1.2328
62,1.2328
94,1.2328
133,1.2328
253,0.672533
400,0.858196
357,0.880398
364,0.880398
472,0.880398
388,0.950263
121,1.15477
23,1.18284
228,1.2328
252,1.2328
281,1.2328
551,1.2328
416,1.2524
592,1.26582
325,1.26645
179,1.27055
174,1.27668
289,1.28487
554,1.28487
156,1.29039
42,1.33015
164,1.34324
246,1.34324
83,1.09023
343,1.09023
496,1.09023
555,1.09023
256,1.10666
247,1.17051
460,1.19708
151,1.31107
323,1.33139
518,1.35481
490,1.43892
477,1.46765
523,1.50306
361,1.51364
513,1.56429
200,1.57598
167,1.57778
426,1.58477
331,1.60353
145,1.6245
594,1.71219
467,1.71464
337,1.75425
459,1.70783
215,2.97681
492,2.1411
321,0.986256
290,1.41506
224,2.00853
194,2.25251
499,2.2983
39,2.35408
95,1.14359
127,1.31659
15,1.31659
97,1.31659
175,1.31659
71,1.37146
485,1.38315
542,1.42986
487,1.60194
73,0.900333
304,1.08236
128,1.16867
198,1.34926
176,1.41333
483,1.45155
541,1.50323
394,1.61382
77,0.921195
166,0.921195
212,1.10472
7,1.16116
181,1.54032
527,1.56987
332,1.61691
21,1.61805
154,1.66772
352,1.67048
143,1.74109
514,1.7516
548,1.84789
30,1.85833
17,1.88122
296,1.70625
277,1.88279
149,1.17682
64,1.90342
230,1.92182
220,1.94487
41,1.96738
162,1.96825
376,1.96825
480,1.99452
378,2.05465
54,2.09194
46,2.114
107,2.114
384,2.114
84,2.0807
287,2.15799
519,2.20939
461,1.85205
76,1.77465
350,2.23886
353,2.25559
522,2.29017
9,2.33275
16,2.33275
292,2.33275
360,2.33275
373,2.33275
584,2.33987
544,2.41657
328,2.50884
222,2.55212
108,2.56023
291,2.59788
474,2.67741
1,UNDEFINED
8,1.68027
44,1.02728
55,0.786511
68,0.786511
74,0.408656
254,0.408656
591,0.289482
226,0.395221
398,0.395221
464,0.411096
262,0.5001
270,0.521728
327,0.521728
510,0.521728
596,0.528299
436,0.53647
569,0.541202
466,0.558122
315,0.563028
203,0.565155
334,0.577754
577,0.622816
598,0.631348
310,0.631981
257,0.638514
286,0.678896
575,0.680074
221,0.681909
146,0.685784
458,0.690941
379,0.700428
556,0.707884
75,0.71861
412,0.71861
214,0.719236
123,0.724845
539,0.744983
408,0.751132
241,0.752994
90,0.755447
500,0.755447
562,0.765376
525,0.78
109,0.786511
340,0.786511
511,0.789177
362,0.819207
481,0.820305
101,0.821584
124,0.821584
447,0.821584
494,0.821584
547,0.821584
531,0.822496
276,0.834446
478,0.835524
99,0.837437
197,0.847467
50,0.87155
298,0.883289
160,0.888426
469,0.907138
593,0.911043
589,0.918967
142,0.930054
521,0.953362
505,0.967729
468,0.970979
113,0.979285
387,1.03923
37,1.05233
205,1.09973
599,1.13252
553,1.14861
2,UNDEFINED
13,2.06683
67,2.06683
126,0.784028
397,1.04355
140,1.07401
566,1.1192
183,1.21725
322,1.25805
546,1.35266
391,1.39331
104,0.864928
243,0.864928
411,0.864928
536,0.896326
432,0.911592
409,0.944722
524,1.01484
559,1.03489
225,1.13824
335,1.19708
320,1.26487
574,1.26487
454,1.2917
538,1.29885
193,1.36883
192,1.36996
578,1.39352
185,1.4426
358,1.47547
282,1.48317
136,1.54058
122,1.54916
242,1.54916
336,1.54916
442,1.54916
534,1.54916
560,1.54916
585,1.54916
294,1.65861
540,1.68125
131,1.68816
326,1.68816
532,1.68816
259,1.55132
300,1.59631
237,1.68843
563,1.68843
251,1.69976
52,1.55342
172,1.55342
187,1.55342
245,1.55342
306,1.55342
311,1.55342
381,1.55342
462,1.63055
535,1.6868
305,1.699
338,1.70991
314,1.75516
53,1.56096
170,1.56096
260,1.56096
424,1.56096
558,1.56096
386,1.7516
33,1.79574
309,1.79691
98,1.80061
31,1.77263
51,1.32563
91,1.32563
206,1.32563
209,1.32563
211,1.32563
3,1.24668
36,0.801249
232,0.801249
389,0.801249
583,0.801249
279,0.878294
417,0.879261
111,0.946942
284,0.946942
312,0.946942
368,0.946942
443,0.946942
229,1.00045
40,1.0031
43,1.0031
233,1.0031
250,1.0031
189,0.753193
275,0.753193
438,0.753193
537,0.753193
557,0.753193
415,0.808146
449,0.866833
520,0.874185
313,0.887637
370,0.887637
134,0.939628
177,0.941541
329,0.941541
403,0.974423
482,0.97678
163,1.00643
137,1.0282
147,1.05219
475,1.06273
87,1.08789
428,1.08789
488,1.08789
476,1.09727
582,1.09868
455,1.09927
431,1.10104
11,1.13075
191,1.13221
570,1.1483
390,1.15957
268,1.20067
223,1.32563
285,1.33522
567,1.37226
572,1.37226
218,1.37244
590,1.38593
258,1.44489
116,1.4669
236,1.51172
265,1.53278
444,1.53864
509,1.57108
58,1.57111
18,1.5836
495,1.59104
48,1.71167
354,1.80081
451,1.81769
158,1.83344
120,1.83627
207,1.88096
210,1.89565
516,1.94281
423,2.03681
346,2.04644
195,2.26652
4,UNDEFINED
10,0.951578
14,0.722565
29,0.722565
65,0.722565
103,0.722565
106,0.722565
161,0.722565
190,0.722565
202,0.722565
288,0.722565
297,0.722565
307,0.722565
317,0.722565
342,0.722565
345,0.722565
395,0.722565
396,0.722565
414,0.722565
452,0.722565
470,0.722565
471,0.722565
579,0.722565
410,0.724845
269,0.78224
5,0.796053
26,0.6179
66,0.6179
155,0.6179
182,0.6179
213,0.6179
244,0.6179
293,0.6179
363,0.6179
550,0.6179
453,0.702851
333,0.744379
439,0.78886
465,0.810309
529,0.816578
504,0.832887
351,0.84214
157,0.843742
413,0.853756
503,0.873957
356,0.876869
271,0.884929
19,0.890955
57,0.857846
266,0.857846
402,0.857846
427,0.857846
27,0.696707
433,0.733621
545,0.762365
437,0.857846
418,0.749333
576,0.838928
493,0.857846
506,0.857846
283,0.890955
138,0.893197
92,0.895042
280,0.895265
380,0.915533
543,0.915533
100,0.921032
526,0.929677
89,0.962756
392,1.0005
153,1.04676
533,1.10901
486,1.25881
347,1.39
165,1.42014
6,UNDEFINED
22,2.16125
24,2.16125
32,2.16125
12,1.36301
61,1.36301
240,1.36301
377,1.51878
49,1.29066
70,1.29066
114,1.29066
231,1.29066
234,1.27726
235,1.27726
239,1.27726
299,1.27726
375,1.1926
112,1.08757
339,1.08757
